block,timestamp,previousVariableBorrowIndex,variableBorrowIndex,percent_deltaIndex,currentVariableBorrowRate,utilization
24462436,1771161287,1218061732890031610010635859,1218061837234500547449372378,0.000000001189782664365621521167,37520985525732933943869411,0.690413716671212762676645979809
24462442,1771161359,1218061837234500547449372378,1218061941578981191004637097,0.000000001189782698289102875113,37521000962151738950711473,0.690414004806980119433035270049
24462449,1771161443,1218061941578981191004637097,1218062063314269988691821889,0.000000001189783195246075753327,37521030252599735159754968,0.690414548557763851910351604602
24462452,1771161479,1218062063314269988691821889,1218062115486581068529952568,0.000000001189784092235789188080,37521006671767988545695726,0.690414116677262823529304114345
24462454,1771161503,1218062115486581068529952568,1218062150268101170751154420,0.000000001189783336667342034578,37520714939759114366976595,0.690408749740165972319516640709
24462467,1771161659,1218062150268101170751154420,1218062376346248235264215394,0.000000001189774176615707286619,37520717095951798335352688,0.690408798263512424320254012855
24462469,1771161683,1218062376346248235264215394,1218062411127507352934868539,0.000000001189774149571813261407,37520717427673742831117476,0.690408805728642049892584964255
24462488,1771161911,1218062411127507352934868539,1218062741549521426148914266,0.000000001189774306366468420997,37520720522952860673028603,0.690408875615443728968045888905
24462492,1771161959,1218062741549521426148914266,1218062811112067864687383381,0.000000001189774279097832732077,37520721138211846785529437,0.690408889659030577945486584213
24462493,1771161971,1218062811112067864687383381,1218062828502705380218942837,0.000000001189774279097832732077,37520707359088193943230554,0.690408636793612862092572868278
24462505,1771162115,1218062828502705380218942837,1218063037190298294767702160,0.000000001189773927527208336376,37520709349419970987893859,0.690408681584392280861095514410
24462507,1771162139,1218063037190298294767702160,1218063071971569101615407126,0.000000001189773909023491121427,37520709681141916126673472,0.690408689049521573366519078263
24462512,1771162199,1218063071971569101615407126,1218063158924751232585055577,0.000000001189773942330181942899,37520717565752030069651375,0.690408837540353870210196873813
24462513,1771162211,1218063158924751232585055577,1218063176315392058124622085,0.000000001189774149571813261407,37520724700095900678795700,0.690408969503269132061973323289
24462515,1771162235,1218063176315392058124622085,1218063211096681067533891935,0.000000001189774390120135194593,37521003931554262288886443,0.690414108928977254819869813218
